time, autocorrelation 
5656, -0.004879
5657, -0.004290
5658, -0.003694
5659, -0.003160
5660, -0.002601
5661, -0.002098
5662, -0.001630
5663, -0.001073
5664, -0.000452
5665, 0.000201
5666, 0.000739
5667, 0.001330
5668, 0.001905
5669, 0.002566
5670, 0.003158
5671, 0.003728
5672, 0.004353
5673, 0.004978
5674, 0.005598
5675, 0.006147
5676, 0.006486
5677, 0.006924
5678, 0.007332
5679, 0.007779
5680, 0.008091
5681, 0.008397
5682, 0.008696
5683, 0.009123
5684, 0.009498
5685, 0.009838
5686, 0.009999
5687, 0.010078
5688, 0.010102
5689, 0.010064
5690, 0.010022
5691, 0.009872
5692, 0.009676
5693, 0.009457
5694, 0.009252
5695, 0.009170
5696, 0.008970
5697, 0.008734
5698, 0.008456
5699, 0.008247
5700, 0.008193
5701, 0.008143
5702, 0.008129
5703, 0.008187
5704, 0.008218
5705, 0.008298
5706, 0.008330
5707, 0.008323
5708, 0.008317
5709, 0.008340
5710, 0.008325
5711, 0.008352
5712, 0.008362
5713, 0.008451
5714, 0.008613
5715, 0.008728
5716, 0.008925
5717, 0.009234
5718, 0.009561
5719, 0.009870
5720, 0.010061
5721, 0.010206
5722, 0.010387
5723, 0.010479
5724, 0.010432
5725, 0.010292
5726, 0.010113
5727, 0.009925
5728, 0.009719
5729, 0.009390
5730, 0.009002
5731, 0.008552
5732, 0.007958
5733, 0.007394
5734, 0.006930
5735, 0.006426
5736, 0.005835
5737, 0.005261
5738, 0.004728
5739, 0.004145
5740, 0.003540
5741, 0.003113
5742, 0.002768
5743, 0.002395
5744, 0.001895
5745, 0.001427
5746, 0.000883
5747, 0.000260
5748, -0.000377
5749, -0.001038
5750, -0.001743
5751, -0.002474
5752, -0.003215
5753, -0.004009
5754, -0.004734
5755, -0.005597
5756, -0.006356
5757, -0.007099
5758, -0.007779
5759, -0.008505
5760, -0.009163
5761, -0.009980
5762, -0.010873
5763, -0.011744
5764, -0.012583
5765, -0.013403
5766, -0.014267
5767, -0.015124
5768, -0.015975
5769, -0.016712
5770, -0.017520
5771, -0.018379
5772, -0.019248
5773, -0.020104
5774, -0.020979
5775, -0.021827
5776, -0.022608
5777, -0.023368
5778, -0.024104
5779, -0.024775
5780, -0.025373
5781, -0.026120
5782, -0.026805
5783, -0.027416
5784, -0.028009
5785, -0.028526
5786, -0.028908
5787, -0.029226
5788, -0.029534
5789, -0.029796
5790, -0.030051
5791, -0.030348
5792, -0.030544
5793, -0.030780
5794, -0.031012
5795, -0.031116
5796, -0.031127
5797, -0.031062
