time (ms), position (nm), velocity (mm/s), acceleration (Å/ps^2)
2.460000,-14.472746,-0.639555,0.000000
2.465000,-16.768781,-0.286541,0.000000
2.470000,-18.702384,-0.480924,0.000000
2.475000,-20.573975,-0.272274,0.000000
2.480000,-21.582369,-0.134702,0.000000
2.485000,-21.380943,0.205271,0.000000
2.490000,-20.230732,0.251514,0.000000
2.495000,-18.404675,0.470588,0.000000
2.500000,-15.866377,0.539705,0.000000
2.505000,-13.238831,0.508904,0.000000
2.510000,-10.687121,0.508778,0.000000
2.515000,-8.443201,0.389273,0.000000
2.520000,-6.109152,0.537946,0.000000
2.525000,-4.269521,0.204499,0.000000
2.530000,-3.257215,0.199410,0.000000
2.535000,-0.800723,0.766154,0.000000
2.540000,2.962846,0.736521,-0.000000
2.545000,5.871050,0.432064,-0.000000
2.550000,8.341507,0.551057,-0.000000
2.555000,10.704490,0.396347,-0.000000
2.560000,12.463510,0.308424,-0.000000
2.565000,14.071551,0.333275,-0.000000
2.570000,15.969974,0.422723,-0.000000
2.575000,17.372636,0.144983,-0.000000
2.580000,18.180272,0.177341,-0.000000
2.585000,18.423929,-0.072770,-0.000000
2.590000,17.936836,-0.119512,-0.000000
2.595000,17.046383,-0.232069,-0.000000
2.600000,15.168392,-0.509412,-0.000000
2.605000,12.244849,-0.652866,-0.000000
2.610000,9.480465,-0.454838,-0.000000
2.615000,7.711520,-0.255772,-0.000000
2.620000,5.945963,-0.443603,-0.000000
2.625000,3.243009,-0.629988,-0.000000
2.630000,0.163466,-0.599608,-0.000000
2.635000,-3.018765,-0.668559,0.000000
2.640000,-5.750852,-0.428095,0.000000
2.645000,-7.184697,-0.151526,0.000000
2.650000,-7.692461,-0.053976,0.000000
2.655000,-8.625804,-0.312221,0.000000
2.660000,-8.944190,0.172255,0.000000
2.665000,-7.777351,0.289933,0.000000
2.670000,-5.715004,0.526621,0.000000
2.675000,-3.916369,0.199325,0.000000
2.680000,-3.525445,-0.037408,0.000000
2.685000,-3.408482,0.080866,0.000000
2.690000,-2.941122,0.104862,0.000000
2.695000,-1.832516,0.331571,0.000000
